school_id,institution_name,province,type,onboarding_status
800022558,"SUNDUZA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022624,"SWELIHLE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022632,"SYDE PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800035513,"T.C. COLLEGE ELUKWATINI",Mpumalanga,"Independent School (COMBINED)",unclaimed
800022681,"TAKHENI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800022756,"TEGWANS NEST PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800022939,"THANDANANI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022947,"THANDEKA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800022996,"THATHUKUSA PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800023002,"THE BROOK PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800023028,"THE GEM COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800023168,"THEU THEU PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800023176,"THISTLE GROVE COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800023192,"THOBELANI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800023218,"THOKOZANI COMBINED SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800023259,"THOLUKWAZI PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800023275,"THOMAS NHLABATHI SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
800023291,"THORISONG PRIMARY SCHOOL",Mpumalanga,"Public School (PRIMARY)",unclaimed
800000190,"THUBELIHLE PRIMARY SCHOOL",Mpumalanga,"Public School (COMBINED)",unclaimed
800023457,"THUTO-THEBE SECONDARY SCHOOL",Mpumalanga,"Public School (SECONDARY)",unclaimed
