school_id,institution_name,province,type,onboarding_status
ZAF-P-600100966,"MACHAMA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100967,"MADIBA COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600104250,"MADIBA UTLWA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105294,"MADIBA-A-TOLOANE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100970,"MADIBENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100972,"MADIBOGO BATLHAPING PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600104057,"MADIBOGO HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600100973,"MADIBOGOGO-PAN PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100974,"MADIDI PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100975,"MADIMA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100981,"MADUTLE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600100984,"MAFIKENG HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600104055,"MAFIKENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101303,"MAHOBOTLE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101005,"MAIKAO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101006,"MAIKETSO PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105124,"MAITEMOGELO COMP SEC SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101013,"MAJAKANENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101016,"MAJENG SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101021,"MAKEKENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101023,"MAKGATLHANONG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101024,"MAKGETHE MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600101031,"MAKGOPHANENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101036,"MAKOBA SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101040,"MAKUKA SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101043,"MALATSE MOTSEPE HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101046,"MALEBOGO PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105362,"MALEDU-MOLEPE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101048,"MALEFO HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105077,"MAMMUTLA SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101221,"MAMODIBO HIGH SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101060,"MAMORATWA COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600104004,"MAMPHO SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101064,"MAMUSA PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101066,"MANAMAKGOTHA SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101068,"MANAMOLELA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101071,"MANKUROANE TECHNICAL & COMMERCIAL SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105377,"MANZIL PARK PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101080,"MAOKANENG PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101082,"MAOTWE MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600101088,"MAPHOITSILE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600105442,"MAQUASSI HILLS ENGLISH SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105441,"MAQUASSI HILLS PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101104,"MAREMA PRIMARY SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600101111,"MARIKANA COMBINED SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600105416,"MARIKANA II PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101110,"MARIKANA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101116,"MAROTSE PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600103606,"MARUAPULA SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101118,"MARUATONA DIKOBE SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101117,"MARUATONA PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101119,"MARUBISING SECONDARY",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101122,"MARUMOLOA MIDDLE SCHOOL",North West,"Public School (COMBINED SCHOOL)",unclaimed
ZAF-P-600101126,"MASEDI PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600104037,"MASELWANYANE SEC. SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101137,"MATALE MIDDLE SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101140,"MATETENENE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101141,"MATHIBESTAD PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101147,"MATLAISANE SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101150,"MATLAPE PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101152,"MATLHAJANENG PRIMARY SCHOOL",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101154,"MATLHALENG SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
ZAF-P-600101144,"MATLHARE MOHOLO PRIMARY",North West,"Public School (PRIMARY SCHOOL)",unclaimed
ZAF-P-600101155,"MATLHARE MOKAUTU SECONDARY SCHOOL",North West,"Public School (SECONDARY SCHOOL)",unclaimed
